date,stock_name,stock_code
2022-01-21,웹스,196700
2022-01-24,고려산업,002140
2022-01-24,팜스토리,027710
2022-01-24,서연탑메탈,019770
2022-01-25,파라텍,033540
2022-01-25,원방테크,053080
2022-01-25,비디아이,148140
2022-01-26,하나기술,299030
2022-01-26,경남제약,053950
2022-01-26,육일씨엔에스,191410
2022-01-27,인탑스,049070
2022-01-27,휴마시스,205470
2022-01-28,세종메디칼,258830
2022-02-03,하나기술,299030
2022-02-03,대창스틸,140520
2022-02-03,비디아이,148140
2022-02-04,제노레이,122310
2022-02-04,퓨쳐켐,220100
2022-02-07,흥구석유,024060
2022-02-07,인바이오젠,101140
2022-02-07,한신기계,011700
2022-02-08,대영포장,014160
2022-02-08,사조동아원,008040
2022-02-08,대양금속,009190
2022-02-09,동양,001520
2022-02-09,비디아이,148140
2022-02-10,대륙제관,004780
2022-02-10,한국파마,032300
2022-02-14,SH에너지화학,002360
2022-02-14,스페코,013810
2022-02-15,경동도시가스,267290
2022-02-15,엘컴텍,037950
2022-02-16,에코마케팅,230360
2022-02-16,미래나노텍,095500
2022-02-16,위지트,036090
2022-02-17,KISCO홀딩스,001940
2022-02-17,동국알앤에스,075970
2022-02-17,피제이메탈,128660
2022-02-18,이엔플러스,074610
2022-02-18,극동유화,014530
2022-02-21,엘컴텍,037950
2022-02-21,빅텍,065450
2022-02-22,엘컴텍,037950
2022-02-22,대성파인텍,104040
2022-02-23,동양에스텍,060380
2022-02-23,에이텍,045660
2022-02-24,엘컴텍,037950
2022-02-24,라온시큐어,042510
2022-02-25,로보로보,215100
2022-02-25,심텍홀딩스,036710
2022-02-28,대창스틸,140520
2022-02-28,파세코,037070
2022-03-02,넷게임즈,225570
2022-03-02,넷게임즈,225570
2022-03-02,사조씨푸드,014710
2022-03-02,넷게임즈,225570
2022-03-02,넷게임즈,225570
2022-03-03,삼부토건,001470
2022-03-03,진도,088790
2022-03-04,에프엔씨엔터,173940
2022-03-04,하나기술,299030
2022-03-04,마이더스AI,222810
2022-03-07,에이치앤비디자인,227100
2022-03-07,한일사료,005860
2022-03-08,SH에너지화학,002360
2022-03-08,하이텍팜,106190
2022-03-10,하나기술,299030
2022-03-10,케이사인,192250
2022-03-11,리더스기술투자,019570
2022-03-11,티플랙스,081150
2022-03-14,휴니드,005870
2022-03-14,키다리스튜디오,020120
2022-03-14,아미코젠,092040
2022-03-15,셀루메드,049180
2022-03-15,티웨이항공,091810
2022-03-16,티웨이항공,091810
2022-03-16,한국큐빅,021650
2022-03-16,고려시멘트,198440
2022-03-17,스맥,099440
2022-03-17,해성산업,034810
2022-03-18,태양금속,004100
2022-03-18,금강철강,053260
2022-03-21,한일철강,002220
2022-03-21,시공테크,020710
2022-03-21,깨끗한나라,004540
2022-03-22,까뮤이앤씨,013700
2022-03-22,브리지텍,064480
2022-03-23,세종메디칼,258830
2022-03-23,대동스틸,048470
2022-03-24,한국전자인증,041460
2022-03-24,이월드,084680
2022-03-25,로보로보,215100
2022-03-25,씨이랩,189330
2022-03-28,로보로보,215100
2022-03-28,현대리바트,079430
2022-03-28,우리바이오,082850
2022-03-29,새로닉스,042600
2022-03-29,버킷스튜디오,066410
2022-03-30,위세아이텍,065370
2022-03-30,고려시멘트,198440
2022-03-31,SJM홀딩스,025530
2022-03-31,유니크,011320
2022-04-01,우리산업,215360
2022-04-04,신성통상,005390
2022-04-04,한일시멘트,300720
2022-04-05,메지온,140410
2022-04-05,NPC,004250
2022-04-06,신송홀딩스,006880
2022-04-06,하이스틸,071090
2022-04-07,강남제비스코,000860
2022-04-07,한국특강,007280
2022-04-07,하나기술,299030
2022-04-08,아남전자,008700
2022-04-08,KEC,092220
2022-04-08,대동기어,008830
2022-04-11,에스피시스템스,317830
2022-04-11,에스티큐브,052020
2022-04-11,제이브이엠,054950
2022-04-12,고려시멘트,198440
2022-04-12,한일시멘트,300720
2022-04-13,LG헬로비젼,037560
2022-04-13,한일철강,002220
2022-04-14,대동기어,008830
2022-04-14,덕산하이메탈,077360
2022-04-14,현우산업,092300
2022-04-15,세아메카닉스,396300
2022-04-15,무림P,009580
2022-04-18,네온테크,306620
2022-04-18,비트컴퓨터,032850
2022-04-18,한네트,052600
2022-04-19,브이씨,365900
2022-04-19,지에스이,053050
2022-04-20,파워로직스,047310
2022-04-20,브이씨,365900
2022-04-21,우리기술,032820
2022-04-21,룽투코리아,060240
2022-04-22,에브리봇,270660
2022-04-22,램테크놀러지,171010
2022-04-22,티로보틱스,117730
2022-04-25,팜스코,036580
2022-04-26,화신,010690
2022-04-26,극동유화,014530
2022-04-27,신라섬유,001000
2022-04-28,영흥,012160
2022-04-28,오스템임플란트,048260
2022-04-29,기산텔레콤,035460
2022-04-29,한국화장품,123690
2022-04-29,세화피앤씨,252500
2022-05-02,KBI메탈,024840
2022-05-02,서진오토모티브,122690
2022-05-03,원익머티리얼즈,104830
2022-05-03,파루,043200
2022-05-03,한국카본,017960
2022-05-04,동성화인텍,033500
2022-05-04,태양,053620
2022-05-09,에이티세미콘,089530
2022-05-09,구영테크,053270
2022-05-10,구영테크,053270
2022-05-11,오르비텍,046120
2022-05-11,플레이위드,023770
2022-05-12,제룡전기,033100
2022-05-12,피앤씨테크,237750
2022-05-13,텔레칩스,054450
2022-05-13,동원금속,018500
2022-05-16,아진산업,013310
2022-05-16,케이피에프,024880
2022-05-17,금호타이어,073240
2022-05-17,대창단조,015230
2022-05-17,뉴지랩파마,214870
2022-05-18,대덕전자,353200
2022-05-18,윌링스,313760
2022-05-18,흥국,010240
2022-05-19,폴라리스우노,114630
2022-05-20,대주산업,003310
2022-05-20,지투파워,388050
2022-05-23,한국항공우주,047810
2022-05-23,큐로컴,040350
2022-05-23,네온테크,306620
2022-05-24,TCC스틸,002710
2022-05-24,상신이디피,091580
2022-05-25,한솔제지,213500
2022-05-25,에스피지,058610
2022-05-26,포스코ICT,022100
2022-05-26,한솔제지,213500
2022-05-27,강원랜드,035250
2022-05-30,쇼박스,086980
2022-05-30,SM,063440
2022-05-30,SM,063440
2022-05-30,SM,063440
2022-05-30,SM,063440
2022-05-31,코스모신소재,005070
2022-05-31,신라에스지,025870
2022-06-02,에이스테크,088800
2022-06-02,텔레칩스,054450
2022-06-03,두산퓨얼셀,336260
2022-06-03,위즈코프,038620
2022-06-07,중앙에너비스,000440
2022-06-07,케스피온,079190
2022-06-07,소니드,060230
2022-06-08,동국S,100130
2022-06-08,동국S,100130
2022-06-08,광명전기,017040
2022-06-08,스코넥,276040
2022-06-09,KH필룩스,033180
2022-06-09,제일테크노스,038010
2022-06-10,고려시멘트,198440
2022-06-10,칩스앤미디어,094360
2022-06-13,엘컴텍,037950
2022-06-14,엘컴텍,037950
2022-06-14,이지홀딩스,035810
2022-06-15,TCC스틸,002710
2022-06-16,TCC스틸,002710
2022-06-17,윙입푸드,900340
2022-06-20,동운아나텍,094170
2022-06-22,바이오플러스,099430
2022-06-23,한국카본,017960
2022-06-23,두산에너빌리티,034020
2022-06-24,바이오플러스,099430
2022-06-27,한국카본,017960
2022-06-27,휴림로봇,090710
2022-06-28,서암기계공업,100660
2022-06-28,금양,001570
2022-06-29,고려신용정보,049720
2022-06-29,한탑,002680
2022-06-30,에스엘,005850
2022-06-30,우림피티에스,101170
2022-07-01,에스엘,005850
2022-07-01,이루온,065440
2022-07-04,SH에너지화학,002360
2022-07-04,이루온,065440
2022-07-05,석경에이티,357550
2022-07-05,레이저쎌,412350
2022-07-06,대성산업,128820
2022-07-06,일동제약,249420
2022-07-07,삼진엘앤디,054090
2022-07-07,사조동아원,008040
2022-07-08,일동제약,249420
2022-07-08,나노씨엠에스,247660
2022-07-08,현대에버다임,041440
2022-07-11,유바이오로직스,206650
2022-07-11,현대에버다임,041440
2022-07-12,휴마시스,205470
2022-07-12,지니너스,389030
2022-07-12,이글벳,044960
2022-07-13,버킷스튜디오,066410
2022-07-13,이글벳,044960
2022-07-14,KTIS,058860
2022-07-14,일진홀딩스,015860
2022-07-15,쇼박스,086980
2022-07-15,휴비츠,065510
2022-07-18,ISC,095340
2022-07-18,하이비젼시스템,126700
2022-07-19,그리티,204020
2022-07-19,보라티알,250000
2022-07-20,프로텍,053610
2022-07-20,범한퓨얼셀,382900
2022-07-20,월덱스,101160
2022-07-21,소프트센,032680
2022-07-22,승일,049830
2022-07-22,KT,030200
2022-07-25,피코그램,376180
2022-07-25,한미글로벌,053690
2022-07-26,엘비세미콘,061970
2022-07-26,대성에너지,117580
2022-07-27,오픈베이스,049480
2022-07-27,엘오티베큠,083310
2022-07-28,휴림로봇,090710
2022-07-28,나무가,190510
2022-07-29,자화전자,033240
2022-07-29,에스티아이,039440
2022-08-01,한국항공우주,047810
2022-08-01,웅진씽크빅,095720
2022-08-02,유일로보틱스,388720
2022-08-02,해성티피씨,059270
2022-08-03,SM,063440
2022-08-03,SM,063440
2022-08-03,SM,063440
2022-08-03,SM,063440
2022-08-03,모바일어플라이언스,087260
2022-08-04,자이언트스텝,289220
2022-08-04,모바일어플라이언스,087260
2022-08-08,대성에너지,117580
2022-08-08,대성산업,128820
2022-08-09,조이시티,067000
2022-08-09,서한,011370
2022-08-10,스틱인베스트먼트,026890
2022-08-10,위즈코프,038620
2022-08-11,인트론바이오,048530
2022-08-11,유니크,011320
2022-08-12,가온칩스,399720
2022-08-12,대동,000490
2022-08-16,클라우드에어,036170
2022-08-16,현대에버다임,041440
2022-08-17,동구바이오제약,006620
2022-08-17,대성산업,128820
2022-08-18,대동,000490
2022-08-19,위니아에이드,377460
2022-08-19,대모,317850
2022-08-22,한탑,002680
2022-08-22,사조동아원,008040
2022-08-23,페이퍼코리아,001020
2022-08-23,한국가스공사,036460
2022-08-24,유니온머티리얼,047400
2022-08-24,한화에어로스페이스,012450
2022-08-25,남해화학,025860
2022-08-25,하림,136480
2022-08-26,누보,332290
2022-08-26,오르비텍,046120
2022-08-29,한탑,002680
2022-08-29,한일사료,005860
2022-08-30,켐트로스,220260
2022-08-30,대신정보통신,020180
2022-08-31,영우디에스피,143540
2022-08-31,하나기술,299030
2022-09-01,한국항공우주,047810
2022-09-02,크로바하이텍,043590
2022-09-02,하나기술,299030
2022-09-05,헬릭스미스,084990
2022-09-05,에이치와이티씨,148930
2022-09-06,디젠스,113810
2022-09-06,버킷스튜디오,066410
2022-09-07,한국항공우주,047810
2022-09-07,세림B,340440
2022-09-07,한창,005110
2022-09-15,세아메카닉스,396300
2022-09-15,티앤엘,340570
2022-09-16,문배철강,008420
2022-09-16,참좋은여행,094850
2022-09-19,조일알미늄,018470
2022-09-20,휠라홀딩스,081660
2022-09-20,에스앤에스텍,101490
2022-09-21,하나기술,299030
2022-09-21,대한해운,005880
2022-09-22,한일단조,024740
2022-09-23,코리아에프티,123410
2022-09-23,켄코아에어로스페이스,274090
2022-09-26,조일알미늄,018470
2022-09-27,HLB테라퓨틱스,115450
2022-09-27,성호전자,043260
2022-09-28,아이씨에이치,368600
2022-09-28,조일알미늄,018470
2022-09-29,조일알미늄,018470
2022-09-30,조일알미늄,018470
2022-09-30,하나기술,299030
2022-10-04,조일알미늄,018470
2022-10-04,카카오뱅크,323410
2022-10-05,카나리아바이오,016790
2022-10-06,팜스토리,027710
2022-10-06,해성티피씨,059270
2022-10-07,푸른저축은행,007330
2022-10-07,제주은행,006220
2022-10-11,팜스토리,027710
2022-10-11,한일사료,005860
2022-10-12,제주은행,006220
2022-10-12,대신정보통신,020180
2022-10-13,EV수성,084180
2022-10-13,미래나노텍,095500
2022-10-13,EV수성,084180
2022-10-14,이노시스,056090
2022-10-14,카카오뱅크,323410
2022-10-17,율호,072770
2022-10-17,이노시스,056090
2022-10-17,조일알미늄,018470
2022-10-18,HMM,011200
2022-10-18,미래나노텍,095500
2022-10-19,하나금융지주,086790
2022-10-20,EDGC,245620
2022-10-20,제주은행,006220
2022-10-21,삼부토건,001470
2022-10-24,삼성전자,005930
2022-10-24,미래나노텍,095500
2022-10-25,대한전선,001440
2022-10-25,미래나노텍,095500
2022-10-26,EV수성,084180
2022-10-26,EV수성,084180
2022-10-26,BNGT,032790
2022-10-27,지투파워,388050
2022-10-27,우리바이오,082850
2022-10-28,셀리버리,268600
2022-10-28,남선알미늄,008350
2022-10-31,HMM,011200
2022-10-31,카카오뱅크,323410
2022-11-01,SM,063440
2022-11-01,SM,063440
2022-11-01,SM,063440
2022-11-01,SM,063440
2022-11-02,KG이니시스,035600
2022-11-02,포스코엠텍,009520
2022-11-04,고려시멘트,198440
2022-11-04,이랜텍,054210
2022-11-07,엘컴텍,037950
2022-11-07,쎄노텍,222420
2022-11-08,케이사인,192250
2022-11-08,이루온,065440
2022-11-09,YTN,040300
2022-11-09,성우하이텍,015750
2022-11-10,코닉오토메이션,391710
2022-11-11,이랜텍,054210
2022-11-14,성우하이텍,015750
2022-11-14,SDN,099220
2022-11-15,대모,317850
2022-11-15,씨유메디칼,115480
2022-11-16,대주산업,003310
2022-11-16,대호에이엘,069460
2022-11-21,오에스피,368970
2022-11-21,버킷스튜디오,066410
2022-11-22,삼화네트웍스,046390
2022-11-22,삼부토건,001470
2022-11-23,하나마이크론,067310
2022-11-23,NI스틸,008260
2022-11-24,대영포장,014160
2022-11-24,세종메디칼,258830
2022-11-25,프로이천,321260
2022-11-25,하나기술,299030
2022-11-25,세우글로벌,013000
2022-11-28,오르비텍,046120
2022-11-28,동국산업,005160
2022-11-29,아시아나항공,020560
2022-11-29,SBI인베스트먼트,019550
2022-11-30,SCI평가정보,036120
2022-12-01,주성엔지니어링,036930
2022-12-01,GS건설,006360
2022-12-02,대명에너지,389260
2022-12-02,유일에너테크,340930
2022-12-05,우리손에프엔지,073560
2022-12-05,정다운,208140
2022-12-05,한화솔루션,009830
2022-12-06,유한양행,000100
2022-12-07,실리콘투,257720
2022-12-07,대신정보통신,020180
2022-12-08,쏠리드,050890
2022-12-08,삼성생명,032830
2022-12-09,팬오션,028670
2022-12-09,오픈엣지테크놀로지,394280
2022-12-12,브이티지엠피,018290
2022-12-12,오픈엣지테크놀러지,394280
2022-12-13,두산에너빌리티,034020
2022-12-13,우진,105840
2022-12-14,하나마이크론,067310
2022-12-14,노터스,278650
2022-12-15,조광ILI,044060
2022-12-15,일동제약,249420
2022-12-19,노터스,278650
2022-12-19,카카오게임즈,293490
2022-12-19,카카오게임즈,293490
2022-12-19,노터스,278650
2022-12-21,세종메디칼,258830
2022-12-21,청담글로벌,362320
2022-12-21,세종메디칼,258830
2022-12-21,청담글로벌,362320
2022-12-22,노터스,278650
2022-12-22,팬오션,028670
2022-12-22,노터스,278650
2022-12-22,팬오션,028670
2022-12-26,제주항공,089590
2022-12-26,제주항공,089590
2022-12-27,제주항공,089590
2022-12-27,제주항공,089590
2022-12-28,동운아나텍,094170
2022-12-28,동운아나텍,094170
2023-01-02,한국항공우주,047810
2023-01-03,에브리봇,270660
2023-01-04,엠게임,058630
2023-01-05,금양,001570
2023-01-05,써니전자,004770
2023-01-06,애경산업,018250
2023-01-09,실리콘투,257720
2023-01-11,기가레인,049080
2023-01-11,웹스,196700
2023-01-12,이수페타시스,007660
2023-01-13,제주항공,089590
2023-01-13,조이시티,067000
2023-01-16,두산에너빌리티,034020
2023-01-16,조광ILI,044060
2023-01-17,코퍼스코리아,322780
2023-01-17,컬러레이,900310
2023-01-18,YG,037270
2023-01-18,자화전자,033240
2023-01-25,티쓰리,204610
2023-01-25,넥슨게임즈,225570
2023-01-26,레이크머티리얼즈,281740
2023-01-27,글로벌텍스프리,204620
2023-01-27,시노펙스,025320
2023-01-30,위메이드맥스,101730
2023-01-30,위메이드,112040
2023-01-31,원준,382840
2023-02-01,오픈베이스,049480
2023-02-01,일성건설,013360
2023-02-02,선익시스템,171090
2023-02-02,누리플렉스,040160
2023-02-06,KGETS,151860
